28 12
-0,179588 -0,123554 3,292584 1,204277 0,183622 3,093649 -1,443974 0,036248 3,104591 -0,179028 0,527481 3,342439
-0,178307 -0,127579 3,294008 1,203141 0,180649 3,099157 -1,451075 0,040555 3,140404 -0,183320 0,525592 3,354187
-0,178706 -0,121325 3,290689 1,198638 0,181309 3,103024 -1,447898 0,041907 3,108232 -0,186230 0,527374 3,341624
-0,179523 -0,119874 3,304047 1,208433 0,183897 3,132367 -1,445409 0,045336 3,132316 -0,182111 0,525685 3,329928
-0,179618 -0,123261 3,305542 1,204482 0,182751 3,114853 -1,457240 0,044710 3,147553 -0,182965 0,525704 3,354078
-0,180151 -0,122108 3,297218 1,203160 0,181863 3,099031 -1,455127 0,043906 3,136660 -0,183152 0,529183 3,354223
-0,179890 -0,121435 3,298803 1,206448 0,185810 3,130863 -1,442033 0,041983 3,097633 -0,191473 0,532617 3,378001
-0,181708 -0,128227 3,304534 1,198520 0,187168 3,122988 -1,435067 0,043506 3,088330 -0,190186 0,525596 3,353237
-0,183844 -0,122269 3,298763 1,198882 0,183019 3,123981 -1,448979 0,041565 3,099034 -0,186398 0,523795 3,341590
-0,181868 -0,113315 3,298653 1,197694 0,185935 3,112097 -1,459464 0,044311 3,129457 -0,186230 0,527374 3,341624
-0,182630 -0,111363 3,294393 1,200616 0,186056 3,103905 -1,448967 0,046773 3,095989 -0,186230 0,527374 3,341624
-0,182476 -0,112186 3,297021 1,199648 0,186081 3,130143 -1,435575 0,047973 3,082549 -0,186230 0,527374 3,341624
-0,185635 -0,120255 3,298210 1,197571 0,187288 3,110739 -1,445818 0,047689 3,118181 -0,190373 0,529073 3,353389
-0,185528 -0,114410 3,291221 1,204182 0,185390 3,115143 -1,453333 0,047540 3,134597 -0,186043 0,523908 3,341478
-0,184022 -0,119492 3,295512 1,200052 0,186167 3,098065 -1,459916 0,047953 3,139327 -0,182295 0,529128 3,329990
-0,184482 -0,111160 3,297349 1,195191 0,182190 3,090119 -1,449377 0,049505 3,112516 -0,190186 0,525596 3,353237
-0,186265 -0,119754 3,303224 1,201609 0,184355 3,154608 -1,449813 0,045808 3,120475 -0,190186 0,525596 3,353237
-0,190306 -0,120811 3,308722 1,194795 0,178328 3,098718 -1,449582 0,050295 3,090221 -0,190373 0,529073 3,353389
-0,189236 -0,118343 3,290269 1,188080 0,180583 3,093196 -1,444347 0,047410 3,104905 -0,186398 0,523795 3,341590
-0,186302 -0,114506 3,295868 1,190680 0,180315 3,071978 -1,463050 0,047606 3,128324 -0,190373 0,529073 3,353389
-0,187918 -0,110898 3,289309 1,199617 0,181738 3,102536 -1,463283 0,050130 3,148188 -0,182111 0,525685 3,329928
-0,186823 -0,116746 3,305524 1,196035 0,183375 3,112621 -1,452762 0,048768 3,105371 -0,182965 0,525704 3,354078
-0,190477 -0,116072 3,295208 1,204969 0,185483 3,135737 -1,459792 0,048203 3,146896 -0,190373 0,529073 3,353389
-0,188001 -0,110730 3,305173 1,191486 0,181730 3,078147 -1,445312 0,049292 3,098183 -0,186230 0,527374 3,341624
-0,189889 -0,115790 3,295873 1,199335 0,188509 3,122516 -1,459763 0,048215 3,130554 -0,190186 0,525596 3,353237
-0,191020 -0,111166 3,311739 1,198235 0,186108 3,112807 -1,459946 0,050488 3,127569 -0,196273 0,522012 3,328097
-0,192173 -0,112403 3,298409 1,202400 0,190076 3,118161 -1,458932 0,050711 3,112769 -0,190373 0,529073 3,353389
-0,187530 -0,115384 3,302060 1,199355 0,188449 3,101213 -1,446941 0,055346 3,105558 -0,190186 0,525596 3,353237
