41 12
-0,203775 -0,084649 3,358582 0,179618 1,279573 3,228268 -0,603481 1,277818 3,262300 -0,167090 0,641998 3,394859
-0,212000 -0,080901 3,365571 0,174107 1,271050 3,220291 -0,654303 1,210452 3,202532 -0,173190 0,634074 3,369215
-0,212903 -0,073468 3,379113 0,175386 1,277456 3,232364 -0,703967 1,108213 3,119958 -0,176926 0,643389 3,381195
-0,217606 -0,081573 3,367207 0,173016 1,276403 3,230782 -0,756272 0,996679 3,082595 -0,189923 0,642431 3,417695
-0,221113 -0,077489 3,379336 0,172899 1,274042 3,223718 -0,797981 0,856947 3,047936 -0,186798 0,644691 3,430854
-0,221038 -0,078010 3,372941 0,170904 1,272047 3,215930 -0,814046 0,705824 3,017389 -0,190119 0,638747 3,417589
-0,223529 -0,078842 3,375245 0,170869 1,279245 3,218365 -0,821484 0,577341 2,991741 -0,181506 0,638227 3,393309
-0,221430 -0,077340 3,384740 0,172667 1,286909 3,217435 -0,834047 0,478964 2,998755 -0,190329 0,642267 3,417515
-0,224054 -0,078893 3,381450 0,175154 1,280455 3,219582 -0,843771 0,403859 2,979040 -0,185897 0,636651 3,405357
-0,223163 -0,076084 3,378869 0,179739 1,285620 3,230437 -0,844352 0,373306 2,985109 -0,173190 0,634074 3,369215
-0,218220 -0,076605 3,378600 0,177956 1,274665 3,233588 -0,845532 0,376376 2,979181 -0,167075 0,634820 3,394747
-0,210456 -0,069980 3,366230 0,178681 1,282583 3,232958 -0,853132 0,414077 2,968464 -0,170466 0,643264 3,381902
-0,201731 -0,073038 3,372777 0,180249 1,281310 3,233959 -0,858097 0,483514 2,952276 -0,170448 0,636111 3,381792
-0,202411 -0,073850 3,371137 0,180135 1,290771 3,252204 -0,869267 0,579829 2,937747 -0,166879 0,638480 3,394870
-0,195492 -0,073998 3,373744 0,181489 1,286775 3,245727 -0,891595 0,691430 2,908447 -0,166879 0,638480 3,394870
-0,186974 -0,074443 3,363393 0,177873 1,283352 3,241266 -0,898029 0,802353 2,912682 -0,171033 0,640582 3,407065
-0,191869 -0,078661 3,373119 0,178533 1,276099 3,254718 -0,901990 0,870773 2,918405 -0,166879 0,638480 3,394870
-0,186910 -0,082567 3,377455 0,182625 1,286013 3,248015 -0,893525 0,883880 2,933419 -0,166879 0,638480 3,394870
-0,188925 -0,083942 3,387250 0,181712 1,283667 3,254532 -0,890428 0,848252 2,931684 -0,167075 0,634820 3,394747
-0,193321 -0,083406 3,385485 0,182656 1,280291 3,244142 -0,885944 0,770836 2,932236 -0,175214 0,642697 3,419334
-0,191344 -0,083492 3,381433 0,183101 1,284355 3,244798 -0,873935 0,665519 2,905324 -0,167075 0,634820 3,394747
-0,196894 -0,082746 3,385428 0,181598 1,284672 3,240745 -0,878471 0,571917 2,927318 -0,166879 0,638480 3,394870
-0,199423 -0,083228 3,387075 0,184511 1,286516 3,245389 -0,864921 0,484352 2,937648 -0,171019 0,633382 3,406952
-0,201375 -0,077420 3,371715 0,180197 1,281985 3,237777 -0,867439 0,424300 2,943527 -0,175410 0,639012 3,419214
-0,202515 -0,080014 3,385230 0,182143 1,283977 3,253951 -0,861529 0,389753 2,953012 -0,166865 0,631304 3,394760
-0,201955 -0,078547 3,390007 0,181854 1,284065 3,243675 -0,865430 0,371792 2,922137 -0,171033 0,640582 3,407065
-0,199430 -0,077404 3,376526 0,181121 1,286562 3,239813 -0,857657 0,415068 2,946417 -0,175214 0,642697 3,419334
-0,199742 -0,079664 3,358986 0,176128 1,254818 3,263182 -0,862005 0,481272 2,931461 -0,175214 0,642697 3,419334
-0,199626 -0,079490 3,367221 0,185233 1,284079 3,250073 -0,867072 0,583224 2,919611 -0,166879 0,638480 3,394870
-0,198577 -0,076654 3,374816 0,184527 1,284978 3,251715 -0,886398 0,707152 2,919821 -0,175214 0,642697 3,419334
-0,195758 -0,082313 3,357021 0,182365 1,282614 3,237387 -0,884190 0,821295 2,907901 -0,170240 0,632623 3,381884
-0,198462 -0,079445 3,360917 0,184406 1,278571 3,252706 -0,887195 0,916950 2,967355 -0,172233 0,641256 3,432348
-0,202049 -0,082370 3,365542 0,191828 1,273944 3,244297 -0,873549 0,975038 2,959979 -0,166879 0,638480 3,394870
-0,202476 -0,080180 3,360315 0,196122 1,283674 3,261209 -0,854386 1,021826 2,967507 -0,174999 0,639140 3,419251
-0,202163 -0,084919 3,367625 0,198780 1,280631 3,260911 -0,820896 1,059191 2,971570 -0,166879 0,638480 3,394870
-0,204303 -0,088682 3,372180 0,197784 1,274864 3,262275 -0,793599 1,106693 3,013686 -0,170240 0,632623 3,381885
-0,200881 -0,085286 3,370183 0,196325 1,255538 3,276302 -0,763836 1,163696 3,067210 -0,166879 0,638480 3,394870
-0,204100 -0,082561 3,363078 0,198852 1,279294 3,249174 -0,727056 1,213245 3,125593 -0,167075 0,634820 3,394747
-0,203833 -0,090662 3,365224 0,197832 1,272631 3,265215 -0,682205 1,253042 3,181541 -0,166879 0,638480 3,394870
-0,197805 -0,089721 3,361631 0,201606 1,274925 3,254253 -0,636167 1,283878 3,237321 -0,167075 0,634820 3,394747
-0,193883 -0,086816 3,368675 0,198109 1,280595 3,244159 -0,584006 1,303955 3,256263 -0,166879 0,638480 3,394870
